COMPANY 1	COMPANY 2	STREET	BUILDING	STREET2	POSTAL CODE	CITY DISTRICT	CITY	COUNTRY	CONTINENT	TELEPHONE 1	EMAIL 1	URL 1	ROOMS	STARS	GEO LATITUDE	GEO LONGITUDE
Wellness Hotel	Winzer	Kogl	66		4880		St. Georgen	Austria	Europe	+43-7667-6387	info@hotel-winzer.at	www.health-and-spa.at	93	4	47.938961	13.467591
Hotel	Zum Senner	Schlitters	58b		6262		Schlitters	Austria	Europe	+43-5288-72418		www.zum-senner.at	8	4	47.37932575426041	11.839646100997925
Gasthof	Plattner	Tumpen	16		6441	Tumpen	Umhausen	Austria	Europe	+43-5255-5418	info@gasthof-plattner.at	www.gasthof-plattner.at	12	2	47.176531	10.907519
Hotel	Gravensteen	Jan Breydelstraat	35		9000	City Center	Ghent	Belgium	Europe	+32-9-2251150	info@historic-hotels-ghent.com	www.historic-hotels-ghent.com	49	3	51.05646504733171	3.7197867035865784
Hotel	Monasterium PoortAckere	Oude Houtlei	56		9000		Ghent	Belgium	Europe	+32-9-2692210	info@historic-hotels-ghent.com	www.historic-hotels-ghent.com	54	3	51.0527765	3.7168026
Guesthouse	PoortAckere	Oude Houtlei	56		9000		Ghent	Belgium	Europe	+32-9-2692210	info@monasterium.be	www.monasterium.be	20		51.05256705065438	3.716747760772705
Hotel & Residences	SLS at Baha Mar	Baha Mar Boulevard	1				Nassau	Bahamas	America	+1-242-6779000	info@sbe.com	www.sbe.com/hotels/locations/sls-baha-mar-hotel	300	5	25.070478555947954	-77.39838123321539
Hotel/Resort/Lodge/Inn	The Lodge at Big Falls	Big Falls Village					Big Falls	Belize	America	+501-6717172	info@thelodgeatbigfalls.com	www.thelodgeatbigfalls.com	8	3	16.259202809449253	-88.89050960540771
Holiday Cabana	Hideout	Cashew Tree Crescent				Seine Bight	Maya Beach	Belize	America				1		16.60586285576491	-88.35525870323181
Jungle Lodge	Sweet Songs	Chial Road		off Western Highway			San Ignacio	Belize	America	+501-8243101	marketing@muy-ono.com	www.muy-ono.com	21	3	17.143815	-89.082909999999998
Hotel	Best Caribbean Belize Pickwick	Newtown Barracks	160				Belize City	Belize	America	+501-2232950		www.best-caribbean-belize-pickwick-hotel.com.es	24	3	17.505213835724998	-88.1878674030304
Tropical Guest House	Hacienda	St. Paul Street	1	Corner of San Martin Avenue & St. Paul Streets			Belmopan	Belize	America	+501-6319487	manager@haciendatropicalguesthouse.com	www.haciendatropicalguesthouse.com	2		17.2498543317544	-88.76144520978698
Bed & Breakfast	Belmopan	Trio Street	8				Belmopan	Belize	America	+501-8220176	intlcafe@btl.net	www.belmopanbedandbreakfast.com	6	4	17.24215305978151	-88.7646181730164
Game Lodge - Luxury Safari Camp	Qorokwe Camp	Qorokwe Concession		Bordered in the east by Moremi Game Reserve			Okavango Delta	Botswana	Africa	+276-11-2575000	enquiry@wilderness.co.za	www.wilderness-safaris.com	9		-19.5774875	23.381766
Hotel	St. Georges	Weberstrasse	11		8004	Aussersihl	Zürich	Switzerland	Europe	+41-44-2411144	info@hotel-st-georges.ch	www.hotel-st-georges.ch	44	2	47.37077649654941	8.528111055493355
